template_name,template,targets,template_category,target_category,experiment,comment
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",true;unclear;false,instructive,yes-no-like,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",positive;unclear;negative,instructive,yes-no-like,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",right;unclear;wrong,instructive,yes-no-like,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",she;they;he,instructive,arbitrary,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",cake;equality;piano,instructive,arbitrary,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",circle;triangle;square,instructive,arbitrary,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",no;unclear;yes,instructive,reversed,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",false;unclear;true,instructive,reversed,sec5,
justified_in_saying,"{premise} Are we justified in saying that ""{hypothesis}""?",negative;unclear;positive,instructive,reversed,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",true;unclear;false,instructive,yes-no-like,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",positive;unclear;negative,instructive,yes-no-like,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",right;unclear;wrong,instructive,yes-no-like,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",she;they;he,instructive,arbitrary,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",cake;equality;piano,instructive,arbitrary,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",circle;triangle;square,instructive,arbitrary,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",no;unclear;yes,instructive,reversed,sec5,
should_assume,"Given {premise} Should we assume that ""{hypothesis}"" is true?",false;unclear;true,instructive,reversed,sec5,
